"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification"
"3942427047","true","2016-07-25 00:00:00.000","-72.58633","42.23823","2.5","5","gps","","1","2651-65614","grcaMigration-Ryder","70"
"3942427048","true","2016-08-06 00:00:00.000","-72.59188","42.24197","3.8","5","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427049","true","2016-08-18 00:00:00.000","-72.59355","42.23902","7.0","4","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427050","true","2016-08-23 00:00:00.000","-72.59358","42.2392","8.9","4","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427051","true","2016-08-29 00:00:00.000","-72.59296","42.23898","7.4","4","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427052","true","2016-09-10 00:00:00.000","-72.59345","42.23938","4.8","5","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427053","true","2016-09-13 00:00:00.000","-72.59297","42.23945","1.3","7","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427054","true","2016-09-16 00:00:00.000","-72.5936","42.23918","1.3","7","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427055","true","2016-09-19 00:00:00.000","-72.59332","42.23921","1.7","6","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427056","true","2016-09-22 00:00:00.000","-76.16025","39.489","2.0","6","gps","","1","2651-65614","grcaMigration-Ryder","30"
"3942427057","true","2016-09-25 00:00:00.000","-78.37838","36.31648","1.3","6","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427058","true","2016-09-28 00:00:00.000","-78.97384","35.0931","2.9","5","gps","","1","2651-65614","grcaMigration-Ryder","100"
"3942427059","true","2016-10-04 00:00:00.000","-82.74146","30.13315","1.2","6","gps","","1","2651-65614","grcaMigration-Ryder","70"
"3942427060","true","2016-10-07 00:00:00.000","-80.99361","26.59625","1.3","7","gps","","1","2651-65614","grcaMigration-Ryder","140"
"3942427061","true","2016-10-10 00:00:00.000","-80.99382","26.59654","2.0","4","gps","","1","2651-65614","grcaMigration-Ryder","140"
"3942427062","true","2016-10-16 00:00:00.000","-81.08172","26.71218","2.9","4","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427063","true","2016-10-25 00:00:00.000","-81.08172","26.71193","3.2","4","gps","","1","2651-65614","grcaMigration-Ryder","50"
"3942427064","true","2016-10-31 00:00:00.000","-81.08195","26.71192","5.3","5","gps","","1","2651-65614","grcaMigration-Ryder","50"
