"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification","NCEP NARR SFC Total Precipitation at Surface (Accumulated)","NCEP NARR SFC Pressure at Surface","NCEP NARR SFC Temperature at Surface","NCEP NARR FLX U Wind at 10 m above Ground","Movebank Thermal Uplift (from ECMWF)","NCEP NARR FLX V Wind at 10 m above Ground"
"3942427047","true","2016-07-25 00:00:00.000","-72.58633","42.23823","2.5","5","gps","","1","2651-65614","grcaMigration-Ryder","70","0.0011738203","98336.83336164133","293.6075275138434","2.7433048235046225","0.0","0.31728551791478665"
"3942427048","true","2016-08-06 00:00:00.000","-72.59188","42.24197","3.8","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","97897.55776506015","293.19026642745126","1.8414163051264656","0.0","3.577168462238243"
"3942427049","true","2016-08-18 00:00:00.000","-72.59355","42.23902","7.0","4","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","98437.14727231133","291.32594114159167","1.8697058032092913","0.0","-2.8284355797135285"
"3942427050","true","2016-08-23 00:00:00.000","-72.59358","42.2392","8.9","4","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","98673.31992754119","286.3711352677774","3.0022476440740395","0.0","-3.4349638752368814"
"3942427051","true","2016-08-29 00:00:00.000","-72.59296","42.23898","7.4","4","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","98812.08736858265","292.8928049448452","0.7231258737165182","0.0","3.7673006050369446"
"3942427052","true","2016-09-10 00:00:00.000","-72.59345","42.23938","4.8","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","98169.88987806707","294.56304896694195","3.620662880245784","0.0","-0.5104975321693939"
"3942427053","true","2016-09-13 00:00:00.000","-72.59297","42.23945","1.3","7","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","99008.11878347695","285.2876412730604","3.1514368904976067","0.0","2.541309504465835"
"3942427054","true","2016-09-16 00:00:00.000","-72.5936","42.23918","1.3","7","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","99213.59978830768","281.67720244058086","-1.8463700848398552","0.0","-0.11694965237350903"
"3942427055","true","2016-09-19 00:00:00.000","-72.59332","42.23921","1.7","6","gps","","1","2651-65614","grcaMigration-Ryder","50","0.003428768","98433.32843309293","293.63497279525","1.1456224866432474","0.0","3.551192124853158"
"3942427056","true","2016-09-22 00:00:00.000","-76.16025","39.489","2.0","6","gps","","1","2651-65614","grcaMigration-Ryder","30","0.0","101346.69319050795","292.2216924084986","-3.3003399199721852","0.0","-0.7264210319074569"
"3942427057","true","2016-09-25 00:00:00.000","-78.37838","36.31648","1.3","6","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","100274.48447485475","295.22012355994","-3.0797688349816754","0.0","0.038271116597596966"
"3942427058","true","2016-09-28 00:00:00.000","-78.97384","35.0931","2.9","5","gps","","1","2651-65614","grcaMigration-Ryder","100","5.390625","100365.40998815998","296.3739147996269","-1.872532616860541","0.0","2.3158002046046056"
"3942427059","true","2016-10-04 00:00:00.000","-82.74146","30.13315","1.2","6","gps","","1","2651-65614","grcaMigration-Ryder","70","0.4375","100938.66557780637","299.3345433230961","-1.208773056675044","0.0","0.48956591216134676"
"3942427060","true","2016-10-07 00:00:00.000","-80.99361","26.59625","1.3","7","gps","","1","2651-65614","grcaMigration-Ryder","140","4.3515625","100512.82383387825","297.6049587495989","3.4789614499108636","0.0","-6.083380081547461"
"3942427061","true","2016-10-10 00:00:00.000","-80.99382","26.59654","2.0","4","gps","","1","2651-65614","grcaMigration-Ryder","140","0.0","101614.87862852213","298.35628687256224","-2.817379233773317","0.0","-2.741749059108824"
"3942427062","true","2016-10-16 00:00:00.000","-81.08172","26.71218","2.9","4","gps","","1","2651-65614","grcaMigration-Ryder","50","0.015625","101872.8984375","297.4085381036184","-4.821937605959547","0.0","-2.719858073052621"
"3942427063","true","2016-10-25 00:00:00.000","-81.08172","26.71193","3.2","4","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101967.9921875","295.09338538983343","-2.9853113627847767","0.0","-2.5782961416672876"
"3942427064","true","2016-10-31 00:00:00.000","-81.08195","26.71192","5.3","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101785.27127943856","296.0023379464789","-5.83868387614997","0.0","-5.054432380622973"
"3942427065","true","2016-11-15 00:00:00.000","-81.08191","26.71229","2.8","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101435.03125","294.6594195678286","-0.8520529372814958","0.0","-3.4609762429632736"
"3942427066","true","2016-11-18 00:00:00.000","-81.08176","26.71232","3.0","7","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101883.18554914232","293.55231268359313","-4.438727045248866","0.0","-1.2866937587449259"
"3942427067","true","2016-11-21 00:00:00.000","-81.08164","26.71216","1.1","8","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101951.640625","285.68383117213284","-0.05281665785664306","0.0","-2.8430128297170065"
"3942427068","true","2016-11-27 00:00:00.000","-81.08212","26.71244","7.8","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101963.3046875","295.26685666021353","-2.0027687859350793","0.0","-3.2796605660901044"
"3942427069","true","2016-12-03 00:00:00.000","-81.08196","26.71223","3.7","4","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","102115.015625","295.11781367484593","-3.3969065618194816","0.0","-3.622580882800495"
"3942427070","true","2016-12-09 00:00:00.000","-81.08175","26.71214","1.3","6","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101992.28125","294.13801227521617","-0.5552277646537932","0.0","-1.2152735574948994"
"3942427071","true","2016-12-15 00:00:00.000","-81.08182","26.71205","7.8","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101768.84375","295.4871812303264","0.028864770304605034","0.022839267892715953","0.3657943710696311"
"3942427072","true","2016-12-21 00:00:00.000","-81.08181","26.71235","1.6","7","gps","","1","2651-65614","grcaMigration-Ryder","50","2.4021043E-4","102480.34375","297.69029865333897","-4.991821945685384","0.0","-1.893812373082015"
"3942427073","true","2016-12-24 00:00:00.000","-81.0818","26.71225","1.7","7","gps","","1","2651-65614","grcaMigration-Ryder","50","0.03125","102376.705545962","294.3255704161835","-3.6935231206402146","0.0","-2.2647573218762433"
"3942427074","true","2016-12-27 00:00:00.000","-81.08165","26.71209","3.0","7","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","102588.2578125","295.0559170647538","-6.2752980652903805","0.0","-0.5485532235012419"
"3942427075","true","2016-12-30 00:00:00.000","-81.08102","26.71256","1.2","7","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101724.0234375","294.0592964201247","1.2405780788167187","0.0","1.5265170486794155"
"3942427076","true","2017-01-08 00:00:00.000","-81.08161","26.71177","9.8","4","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0546875","102216.82958403221","290.38176107844777","0.5301589160104421","0.0","-4.880129919381589"
"3942427077","true","2017-01-14 00:00:00.000","-81.08132","26.71192","3.3","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","102999.1953125","292.5695174041756","-4.504025174409767","0.0","-1.8220871711944688"
"3942427078","true","2017-01-17 00:00:00.000","-81.08158","26.71183","1.9","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","102381.98771478065","296.23190369299084","-4.811156921443263","0.0","-0.41990107879458644"
"3942427079","true","2017-01-20 00:00:00.000","-81.08121","26.71183","2.1","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101523.265625","294.1783635846353","1.1107948262458105","0.0","2.0665018178223167"
"3942427080","true","2017-01-26 00:00:00.000","-81.08131","26.71204","2.4","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101728.34375","292.12985713282876","-0.04542381336187734","0.0","2.2105786472343696"
"3942427081","true","2017-01-29 00:00:00.000","-81.08169","26.71233","4.8","4","gps","","1","2651-65614","grcaMigration-Ryder","50","1.09375","102033.375","287.16428986392776","-2.2122831331813755","0.0","-2.67183313506216"
"3942427082","true","2017-02-01 00:00:00.000","-81.0814","26.71228","1.7","6","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","102356.546875","287.9632794006678","-1.028321920099462","0.0","-0.2853312446050975"
"3942427083","true","2017-02-04 00:00:00.000","-81.08045","26.71269","2.3","5","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","102049.21875","296.7162314694056","NaN","0.0","NaN"
"3942427084","true","2017-02-07 00:00:00.000","-81.08138","26.7119","2.8","6","gps","","1","2651-65614","grcaMigration-Ryder","50","0.0","101964.86604953633","295.5211861055681","NaN","0.0","NaN"
"3942427085","true","2016-07-13 00:00:00.000","-105.18126","40.59481","1.4","6","gps","","2","2231-55432","grcaMigration-Ryder","110","0.0","80636.70098370402","300.1155871244204","2.0155718051511773","1.9667414478494416","-1.2114110732535865"
"3942427086","true","2016-07-25 00:00:00.000","-105.18128","40.59473","2.8","4","gps","","2","2231-55432","grcaMigration-Ryder","110","0.30586132","81038.21702093117","303.9493073588822","-0.7975189425459286","1.4206293754310142","-0.6083802617856946"
"3942427087","true","2016-08-06 00:00:00.000","-105.18079","40.59459","4.9","5","gps","","2","2231-55432","grcaMigration-Ryder","110","1.171875","81086.14623798442","290.79659276306893","1.3543720557187453","1.2167539272022307","0.7063436008823318"
