"event-id","visible","timestamp","location-long","location-lat","comments","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","MODIS Land Terra Surface Temp & Emissivity 1km Daily Land Surface Temperature Daytime","NCEP NARR SFC Total Precipitation at Surface (Accumulated)","NCEP NARR SFC Temperature at Surface","NCEP NARR FLX Dew Point Temperature at 2 m above Ground","NCEP NARR SFC Evaporation at Surface (Accumulated)","NCEP NARR FLX Relative Humidity at 2 m above Ground","MODIS Land Terra Surface Temp & Emissivity 1km Daily Land Surface Temperature Nighttime","MODIS Land Terra Surface Temp & Emissivity 1km 8d Land Surface Temperature Nighttime","NCEP NARR FLX V Wind at 30 m above Ground","NCEP NARR SFC Pressure at Surface","MODIS Land Terra Surface Temp & Emissivity 1km 8d Land Surface Temperature Daytime","NCEP NARR FLX U Wind at 30 m above Ground","NCEP NARR FLX U Wind at 10 m above Ground","NCEP NARR FLX V Wind at 10 m above Ground"
"3957846553","true","2016-07-13 23:00:10.000","-72.58631","42.23751","4/5","11.9","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","297.5519795208013","294.1106182892719","0.6833509","80.00728300850562","NaN","293.4001038583901","5.420274022520688","98358.13897320558","301.80615136415565","4.058439322971175","3.1433221824989817","4.2202124500791545"
"3957846554","true","2016-07-25 23:00:10.000","-72.58633","42.23823","5/5","2.5","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.18797301","299.80679874909214","296.19771359169","0.6499847","77.7685411365134","NaN","292.8155282336424","4.990739355154428","97933.84189640195","305.7667008332327","5.395709335695019","4.143398309755808","3.880563608009375"
"3957846555","true","2016-08-06 23:00:06.000","-72.59188","42.24197","5/5","3.8","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.09375","297.1855016312957","294.3781549694534","0.5562999","78.27819944900364","NaN","292.8956240092994","1.0870897588037296","97353.38970637078","302.3086353621669","4.9039539520721425","3.5462516591069724","0.811594684048814"
"3957846556","true","2016-08-18 23:00:06.000","-72.59355","42.23902","4/4","7.0","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","295.9785063480408","291.05073788377405","0.46821225","66.01117349581757","NaN","292.6930168896061","-0.04280555100710326","98230.92907087869","302.37359444199524","2.566467462166444","2.266382605924204","-0.0465410132984741"
"3957846557","true","2016-08-23 23:00:07.000","-72.59358","42.2392","4/4","8.9","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","292.11473559608885","287.10788094980717","0.43454766","66.57142576516776","NaN","292.5258941923117","1.3677278111602338","99107.44318470411","302.7063987546505","4.837454994887191","3.9322090593643275","1.1510867990222509"
"3957846558","true","2016-08-26 23:00:07.000","-72.57293","42.23385","3/3","7.7","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","297.2691029831485","292.62500933859593","0.4009968","70.17897696566897","NaN","292.5596647456485","-4.115467659898959","98505.46975321216","302.8052959349236","2.4344854233011","1.9128424135958786","-3.2386730147126372"
"3957846559","true","2016-08-29 23:00:10.000","-72.59296","42.23898","4/4","7.4","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","292.9152345077226","287.1856016213562","0.38757396","63.741012863867155","NaN","291.7172572284971","-6.381695571828617","98733.83193494944","299.58321810922814","1.5501405847166108","1.2180968316724357","-4.7330650237361604"
"3957846560","true","2016-09-01 23:00:07.000","-72.59384","42.23905","4/4","19.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","293.99554002764677","288.6319333880902","0.32648146","68.6338225055037","NaN","291.4023962037124","-3.0180031335830426","97920.2980389563","298.570534255299","2.028887847831137","1.716347702034641","-2.3731127054489676"
"3957846561","true","2016-09-04 23:00:10.000","-72.59347","42.23918","5/5","12.5","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","290.30319874902324","284.3972608509468","0.2903943","64.03925379301859","NaN","291.2564869159338","-2.160636930290467","99223.39298038812","299.0976856214888","-5.894521709938332","-4.153637989233003","-1.4420891705344419"
"3957846562","true","2016-09-07 23:00:08.000","-72.59477","42.23914","4/4","118.6","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0078125","295.1225640024625","291.7433251444921","0.18613255","79.5753026687344","NaN","291.1511704809352","-0.9782788976016352","98333.33702166384","299.39060178108554","-3.513035626838425","-2.7812039203350327","-0.725783838963167"
"3957846563","true","2016-09-10 23:00:08.000","-72.59345","42.23938","5/5","4.8","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.484375","296.93241465679824","294.02726894382414","0.19840562","81.72010160637306","NaN","290.2341445334654","6.032439073557617","98239.49808551536","299.4053570244036","-0.6169420013668326","-0.4049085115317576","4.262558717090368"
"3957846564","true","2016-09-13 23:00:09.000","-72.59297","42.23945","7/7","1.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","292.72112490362105","287.1860151568058","0.23555523","64.84543219140402","NaN","288.93849148784113","5.574063615176915","98729.96317015318","298.9205151524099","4.167053437694449","2.9801549790228954","3.792897979134316"
"3957846565","true","2016-09-16 23:00:10.000","-72.5936","42.23918","7/7","1.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","289.27711941030805","283.3054836651094","0.22252667","65.13546433889852","NaN","287.67070778864473","5.502986422497116","99254.32454531731","298.28628664197544","0.8064700471231631","0.6250548600528973","3.9349031653057476"
"3957846566","true","2016-09-19 23:00:07.000","-72.59332","42.23921","6/6","1.7","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.296875","294.5996215035298","292.2133104123033","0.15690482","84.52669120810735","NaN","286.6792127857964","3.4372981215741776","98582.50145486853","296.78121153644275","1.7164299527458264","1.3369294844767965","2.650704614999656"
"3957846567","true","2016-09-22 23:00:09.000","-76.16025","39.489","6/6","2.0","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","295.525241705617","288.13459290278286","0.21882576","58.234894653986146","NaN","288.3446035111381","0.6319716967888183","101023.59470758514","301.2774628757356","-3.6996490396434045","-3.3426786797113293","0.5628979432234891"
"3957846568","true","2016-09-25 23:00:07.000","-78.37838","36.31648","6/6","1.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","296.10856693588335","293.56262530972447","0.19955176","86.04678771982414","NaN","290.94872311633424","2.80565287169605","100495.32806252096","303.6851609169982","-4.175919167280342","-3.038381452857828","2.0736445147752427"
"3957846569","true","2016-09-28 23:00:10.000","-78.97384","35.0931","5/5","2.9","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","17.820312","298.4005077000082","295.9584792265756","0.327232","83.40629973225955","NaN","294.20607468626486","5.707708372077044","100519.53812035764","303.09331377347047","-1.7836260167438218","-1.5566576550868647","4.774696862550287"
"3957846570","true","2016-10-04 23:00:04.000","-82.74146","30.13315","6/7","1.2","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.1640625","299.1510989289964","293.6458447433404","0.5566559","69.58058331921055","NaN","291.6347877399537","-3.0455259950458218","101164.93653069247","302.6215034654329","-5.5302361758086604","-4.792118517053479","-2.707285588647924"
"3957846571","true","2016-10-07 23:00:09.000","-80.99361","26.59625","7/8","1.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.3375386","300.7619502963572","297.73662418863387","0.49436897","81.8833076873126","NaN","NaN","2.989681428541606","100572.43495658078","300.7880836831124","7.416661369417286","5.397150393801423","3.1593532379366653"
"3957846572","true","2016-10-10 23:00:07.000","-80.99382","26.59654","4/6","2.0","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","299.3366777712811","296.21487125274507","0.41649812","82.5462247364257","NaN","NaN","-3.8190129347343955","101852.8209601435","300.09736066657723","-5.901637976124153","-4.167595844133113","-4.1281567238458825"
"3957846573","true","2016-10-16 23:00:10.000","-81.08172","26.71218","4/5","2.9","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.015625","298.85033248718577","295.0689027880674","0.3683985","79.14288135100365","NaN","293.33537190415194","-2.708172394105919","101500.30778914825","302.4322864620342","-5.305949540951278","-5.2603110516577125","-2.3631343555385325"
"3957846574","true","2016-10-22 23:00:08.000","-81.23866","26.51919","3/4","18.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","292.9390572209906","285.2409575173423","0.34599745","59.38593884624011","NaN","291.5201127374882","-4.151614711229854","101691.13018769184","297.5203393838974","1.2548929048599764","0.6377862907301299","-3.0611740773396985"
"3957846575","true","2016-10-25 23:00:10.000","-81.08172","26.71193","4/5","3.2","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","297.35084067479727","293.7972890834032","0.27109015","81.79687610751556","NaN","287.7399887706175","-1.5069966277681905","101907.83755063657","301.64387742549343","-4.814211969766292","-3.1912859158862967","-2.0298752418087447"
"3957846576","true","2016-10-28 23:00:10.000","-81.05456","26.74053","3/3","3.6","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","298.3154486303822","294.8415190531276","0.2962532","80.88705849631737","NaN","288.6211689578314","-4.585815699982054","101696.53798555283","302.3913229909327","-6.083421077374732","-5.183766005421331","-5.1551335444453965"
"3957846577","true","2016-10-31 23:00:08.000","-81.08195","26.71192","5/6","5.3","","gps","","1393","2651-65614","grcaMigration-Ryder","301.3840689875805","0.0","300.1119143884081","297.3278807162478","0.22414458","86.45272908375132","NaN","289.37994918451017","-0.8690371255391436","101524.35518716004","300.16114276295303","-5.240241813874737","-4.746210526886809","-2.4851469979613534"
"3957846578","true","2016-11-15 23:00:06.000","-81.08191","26.71229","5/6","2.8","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","294.1774294296872","287.6969115163847","0.1265921","63.28206992921679","NaN","286.7226286557854","0.20953773787196994","101373.22569312916","300.6298428234257","-0.6750150182519088","-1.3793515615063072","0.19312474085311115"
"3957846579","true","2016-11-18 23:00:07.000","-81.08176","26.71232","7/7","3.0","","gps","","1393","2651-65614","grcaMigration-Ryder","299.9618472873517","0.0","295.882023250699","292.0779642534144","0.19301455","80.11043640483246","NaN","285.38219742773106","-1.0278707469861685","102025.45939928376","299.72150841366846","-4.820179146957091","-3.791502221302858","-1.7310159789087307"
"3957846580","true","2016-11-21 23:00:09.000","-81.08164","26.71216","8/9","1.1","","gps","","1393","2651-65614","grcaMigration-Ryder","297.90676543242836","0.0","288.1389518252222","280.5281651996973","0.1585784","56.885751110555184","281.46768671526115","285.81863976891464","-3.3148058020956843","101903.33764865261","299.7519158383106","-0.4345210423873088","-0.3006958490877536","-2.6541798923762894"
"3957846581","true","2016-11-24 23:00:10.000","-81.06021","26.68573","3/4","14.6","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.015625","297.2945961938134","293.67759957640504","0.17789364","80.18333130764111","289.25946707486247","287.3988620700314","0.2231664905973619","102240.62293267508","299.82997552461495","-5.2043048838492005","-4.1366939252091495","-0.9548650104769438"
"3957846582","true","2016-11-27 23:00:07.000","-81.08212","26.71244","5/5","7.8","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0078125","297.0239261553732","293.4247923192374","0.14560413","81.0930672122347","NaN","288.57640626588994","-1.9167105689011719","101749.77021195024","300.8096634185859","-5.91298190450956","-5.461180020952593","-3.0227972561645915"
"3957846583","true","2016-12-03 23:00:10.000","-81.08196","26.71223","4/4","3.7","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","295.8044513444933","292.73697572508047","0.13524467","83.72570037577512","NaN","291.00107403778304","-2.701771613523593","101869.20883246527","299.8530494170046","-4.525738235456792","-3.477774864313829","-3.4823244043016777"
"3957846584","true","2016-12-09 23:00:10.000","-81.08175","26.71214","6/6","1.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0546875","291.18305363579054","288.8069210397648","0.10594046","87.89863948827879","NaN","291.3397845481394","-4.770755663189454","102425.88388262103","299.6053209639176","0.18239989349938446","0.16000541657184292","-4.2181541233879365"
"3957846585","true","2016-12-12 23:00:10.000","-81.08056","26.71325","4/4","10.6","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.8203125","298.7390038462387","295.22417320557196","0.121150196","80.69282553637886","NaN","290.594332392928","0.9360763676851458","101896.3248191551","299.75784243054443","2.189240073473226","0.5188207397124935","0.9770683940897431"
"3957846586","true","2016-12-15 23:00:10.000","-81.08182","26.71205","5/5","7.8","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","297.75740245145187","291.9003085876899","0.22239172","70.80072941806402","NaN","291.01982678243166","-3.9365862078159117","102035.83236938532","299.3625677002671","-1.3097003994034147","-1.1514613944600174","-2.6277843906774385"
"3957846587","true","2016-12-21 23:00:07.000","-81.08181","26.71235","7/8","1.6","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","295.1341736287001","291.4316761997016","0.13990235","80.70490578552179","NaN","291.4521449765329","-2.652153653368152","102153.21687658924","298.26257897873785","-3.0208160034227247","-1.6322168719459134","-3.635284828912593"
"3957846588","true","2016-12-24 23:00:10.000","-81.0818","26.71225","7/7","1.7","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.140625","298.2992015812528","294.97535740733554","0.13263065","82.38245823840015","NaN","291.86971376679315","0.7562371825260613","102325.04393084491","298.59881488224977","-3.635409739606513","-3.5232241193791007","-0.019694023719576736"
"3957846589","true","2016-12-27 23:00:04.000","-81.08165","26.71209","7/7","3.0","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0078125","299.5966960178462","294.1002322134797","0.19268388","74.8164885969952","NaN","292.2834165819867","1.3173814540960418","102183.83079861112","298.95615767645467","-2.6953742037006503","-3.1474871667393143","-0.17271512010240087"
"3957846590","true","2016-12-30 23:00:09.000","-81.08102","26.71256","7/7","1.2","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","287.6324925610812","278.06212139690086","0.24349904","53.27594141500116","NaN","291.40787794673525","-5.359531435889005","102503.366171875","299.2022326323314","-0.8731243130907169","-1.1002462146154337","-3.3130821993613626"
"3957846591","true","2017-01-05 23:00:10.000","-81.08237","26.71106","4/4","15.9","","gps","","1393","2651-65614","grcaMigration-Ryder","298.9824541145034","0.0","295.2654306025504","287.7663036479972","0.18431449","64.36468513428076","286.834688021832","288.4964435782127","0.6230961013136589","101403.54845920138","299.119315574134","4.401216697226543","1.1603810889470583","0.5567196702354132"
"3957846592","true","2017-01-08 23:00:10.000","-81.08161","26.71177","4/5","9.8","","gps","","1393","2651-65614","grcaMigration-Ryder","290.8493932057326","0.0","288.3593176630271","281.1060829353835","0.18157971","65.58429904266268","280.7735306212478","286.9658692196173","-6.013866988139822","103238.56807291131","299.2273691348634","-2.7530410222735746","-1.0060246089445615","-4.9147650236582"
"3957846593","true","2017-01-11 23:00:06.000","-81.07702","26.68826","3/3","3.1","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","295.6367130692235","290.67807292569665","0.1561997","75.1345223451764","NaN","287.59831078567964","-0.4538270806288335","102467.07291966664","298.3273600706042","-6.288118527313426","-5.477339066973372","-0.9456503824701293"
"3957846594","true","2017-01-14 23:00:07.000","-81.08132","26.71192","5/5","3.3","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","296.3110524534951","291.62471116266164","0.15377301","77.78746929019015","NaN","287.15645275936964","-0.5901453815373356","102611.33901436072","299.34008842016596","-5.610708326968725","-4.8224214479275105","-1.4532303182556665"
"3957846595","true","2017-01-17 23:00:08.000","-81.08158","26.71183","5/5","1.9","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","299.1717181453995","291.11214105403127","0.16217446","64.32209389975479","NaN","287.2725193353502","2.7689618918982495","102356.95786458334","299.4262655437812","-0.2932910610424908","-1.2319041031459106","1.5506742695231759"
"3957846596","true","2017-01-20 23:00:10.000","-81.08121","26.71183","5/5","2.1","","gps","","1393","2651-65614","grcaMigration-Ryder","301.28603466356225","0.0","297.587019355545","288.6235099750388","0.2020008","60.0979443167237","NaN","287.37274902075495","2.0955641751427603","101465.87194728026","299.3994911409706","3.8145246214651385","0.9988467457712398","2.036051598853978"
"3957846597","true","2017-01-26 23:00:09.000","-81.08131","26.71204","5/6","2.4","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","297.55838298105306","290.902911900311","0.21683401","69.13835130183904","NaN","285.76185517769096","1.8003921467630906","101757.96151024614","296.0458528096504","5.612909594921337","2.72592432559973","2.6592125273842084"
"3957846598","true","2017-01-29 23:00:06.000","-81.08169","26.71233","4/4","4.8","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.015625","286.06655911485035","282.8189667423874","0.12261474","81.83315189260416","NaN","285.5948147388853","2.3749401060435957","102027.14342600826","295.45391943895294","-0.3710215780011934","0.45301170160024484","3.0878375775656526"
"3957846599","true","2017-02-01 23:00:04.000","-81.0814","26.71228","6/7","1.7","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0","295.1594839036952","NaN","0.18693018","NaN","283.6697635387516","286.7952998403011","NaN","102203.03414680679","297.3694085020096","NaN","NaN","NaN"
"3957846600","true","2017-02-04 23:00:06.000","-81.08045","26.71269","5/5","2.3","","gps","","1393","2651-65614","grcaMigration-Ryder","299.96901549923723","0.0","298.21257445093283","NaN","0.22609258","NaN","NaN","287.9656040367927","NaN","102210.90144965278","299.36379716376854","NaN","NaN","NaN"
"3957846601","true","2017-02-07 23:00:04.000","-81.08138","26.7119","6/6","2.8","","gps","","1393","2651-65614","grcaMigration-Ryder","NaN","0.0078125","298.5515753082666","NaN","0.1852411","NaN","NaN","288.23807712759526","NaN","101619.38623263889","300.01408158968036","NaN","NaN","NaN"
"3957846602","true","2016-07-01 23:00:10.000","-104.01922","40.70587","3/3","21.7","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","2.6484375","305.5387164304167","286.3558495216228","0.6442281","44.54798833435511","NaN","288.827648033637","4.665950045089611","84741.599957491","317.6010030508458","-1.4955078657571432","-1.2798420097072165","4.013085088619455"
"3957846603","true","2016-07-13 23:00:06.000","-105.18126","40.59481","6/6","1.4","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0078125","303.9964798321754","275.00675374236","1.0023509","23.148384808826997","NaN","292.78453901889725","-0.12743327932776438","80958.6039726298","309.6184712769704","0.7442945246253635","0.6487793326516783","-0.11246732594665432"
"3957846604","true","2016-07-25 23:00:07.000","-105.18128","40.59473","4/4","2.8","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.016098011","308.64919236577964","279.56176858159444","1.0099847","23.724945200554977","NaN","290.5997860011073","3.562066953707047","80962.23452790687","310.6846827677675","-1.693140144035926","-1.463793459112235","3.072123113356623"
"3957846605","true","2016-08-06 23:00:09.000","-105.18079","40.59459","5/5","4.9","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","2.15625","300.9160765801839","285.13119179836417","0.7693","52.76246629539534","NaN","291.7166072425633","2.362225442067561","80807.63583726679","308.2086588772684","-1.724189314319166","-1.501435568366092","2.0471369120709135"
"3957846606","true","2016-08-18 23:00:08.000","-105.18097","40.59461","6/6","3.5","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.484375","300.863066716535","277.60761531025344","0.74621236","28.157246504182993","NaN","287.5341604953631","-3.1377339326238634","80812.63877856232","306.9500414486258","1.349438111364247","1.1562274440626186","-2.6782484323516"
"3957846607","true","2016-08-23 23:00:10.000","-105.18111","40.59485","5/5","7.3","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.046875","301.70285927030204","272.8725984399542","0.7395477","21.464610106581624","NaN","284.679799150114","-2.419914359654055","80991.43082389301","302.9208348379799","3.651161575673303","3.124901421710564","-2.0781176345852312"
"3957846608","true","2016-08-26 23:00:08.000","-105.18107","40.59472","5/5","4.7","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","1.0390625","297.39443944868793","277.68437337706473","0.680997","37.18186854423871","NaN","286.08083061334435","-0.26193466671912535","80814.49124913868","303.85057273599887","-0.4566354425566494","-0.3995001978825993","-0.22703786486127742"
"3957846609","true","2016-08-29 23:00:07.000","-105.18103","40.59461","4/4","7.3","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.84375","299.04559241510725","280.0792714232559","0.625574","38.636709841575524","NaN","287.51505583772166","0.38900277228002716","81442.23933101931","304.83124987689877","-2.9810535779895564","-2.5618854432872307","0.3327335535702886"
"3957846610","true","2016-09-01 23:00:07.000","-105.16035","40.6178","3/3","16.6","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.375","303.5291200023785","284.6791473837765","0.54048145","43.74019543604118","NaN","286.30455146549343","6.045923679699159","81138.21674848042","305.80341333320195","-3.2980220685820836","-2.795772514300375","5.122947167466494"
"3957846611","true","2016-09-04 23:00:09.000","-105.18086","40.59452","4/4","4.8","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.046875","301.54556456479554","275.96382390828705","0.5723944","25.503632991651173","NaN","287.05503261027695","5.451632999907499","80003.86558257202","305.4448278322634","2.2840325474606713","1.9528318763926937","4.658356586593474"
"3957846612","true","2016-09-10 23:00:10.000","-105.17954","40.59582","4/4","126.3","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","298.6971949273732","274.46041117363825","0.43440568","28.423509023570492","NaN","285.1990842491548","4.295864632838112","80975.04582259648","304.9992314486247","-0.8109931507703633","-0.6962555544297412","3.6810732320175514"
"3957846613","true","2016-09-13 23:00:09.000","-105.18078","40.59461","5/5","3.0","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.9140625","294.56873673884724","279.1458212717931","0.3215552","55.75881238876051","NaN","284.978866740996","3.3931695112540723","81027.85434030108","303.4721553069265","-2.474369136506164","-2.1226783194046464","2.9083373102365204"
"3957846614","true","2016-09-16 23:00:10.000","-105.18538","40.59371","5/5","6.0","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","295.2006586545656","273.2269647055817","0.35952663","34.64469449596137","NaN","284.31345432676386","-1.5984602975273488","80928.98969336516","301.7710628734736","0.33532019821005965","0.29438230819376476","-1.3881559880296335"
"3957846615","true","2016-09-19 23:00:10.000","-94.3312","37.34384","6/6","2.7","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","302.7422691061706","296.4111674818292","0.74690485","65.93438731399519","NaN","290.81252513117204","2.4097395476483605","98062.15342075074","300.65102304262535","-0.302831647465001","-0.28021260319474206","2.1521691083828483"
"3957846616","true","2016-09-22 23:00:05.000","-94.16138","37.35443","6/6","4.3","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","299.5801830099339","291.2422968503019","0.69182575","55.52330625716353","NaN","291.0588735796476","4.261160739774903","97903.8968855247","300.2983244383759","1.5882056584633095","1.3804225854229892","3.6875504421156626"
"3957846617","true","2016-09-25 23:00:07.000","-94.16165","37.3543","6/6","2.2","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","1.7109375","293.95187476226664","289.2248553853891","0.47155184","74.76784698912884","NaN","290.3051399795669","-7.30750417200475","98368.0594091831","300.2111339868625","1.25651776498741","1.006713750243135","-5.766047256987893"
