event-id,visible,timestamp,location-long,location-lat,comments,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3957846553,true,2016-07-13 23:00:10.000,-72.58631,42.23751,"4/5",11.9,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846554,true,2016-07-25 23:00:10.000,-72.58633,42.23823,"5/5",2.5,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846555,true,2016-08-06 23:00:06.000,-72.59188,42.24197,"5/5",3.8,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846556,true,2016-08-18 23:00:06.000,-72.59355,42.23902,"4/4",7.0,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846557,true,2016-08-23 23:00:07.000,-72.59358,42.2392,"4/4",8.9,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846558,true,2016-08-26 23:00:07.000,-72.57293,42.23385,"3/3",7.7,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846559,true,2016-08-29 23:00:10.000,-72.59296,42.23898,"4/4",7.4,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846560,true,2016-09-01 23:00:07.000,-72.59384,42.23905,"4/4",19.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846561,true,2016-09-04 23:00:10.000,-72.59347,42.23918,"5/5",12.5,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846562,true,2016-09-07 23:00:08.000,-72.59477,42.23914,"4/4",118.6,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846563,true,2016-09-10 23:00:08.000,-72.59345,42.23938,"5/5",4.8,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846564,true,2016-09-13 23:00:09.000,-72.59297,42.23945,"7/7",1.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846565,true,2016-09-16 23:00:10.000,-72.5936,42.23918,"7/7",1.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846566,true,2016-09-19 23:00:07.000,-72.59332,42.23921,"6/6",1.7,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846567,true,2016-09-22 23:00:09.000,-76.16025,39.489,"6/6",2.0,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846568,true,2016-09-25 23:00:07.000,-78.37838,36.31648,"6/6",1.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846569,true,2016-09-28 23:00:10.000,-78.97384,35.0931,"5/5",2.9,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846570,true,2016-10-04 23:00:04.000,-82.74146,30.13315,"6/7",1.2,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846571,true,2016-10-07 23:00:09.000,-80.99361,26.59625,"7/8",1.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846572,true,2016-10-10 23:00:07.000,-80.99382,26.59654,"4/6",2.0,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846573,true,2016-10-16 23:00:10.000,-81.08172,26.71218,"4/5",2.9,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846574,true,2016-10-22 23:00:08.000,-81.23866,26.51919,"3/4",18.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846575,true,2016-10-25 23:00:10.000,-81.08172,26.71193,"4/5",3.2,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846576,true,2016-10-28 23:00:10.000,-81.05456,26.74053,"3/3",3.6,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846577,true,2016-10-31 23:00:08.000,-81.08195,26.71192,"5/6",5.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846578,true,2016-11-15 23:00:06.000,-81.08191,26.71229,"5/6",2.8,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846579,true,2016-11-18 23:00:07.000,-81.08176,26.71232,"7/7",3.0,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846580,true,2016-11-21 23:00:09.000,-81.08164,26.71216,"8/9",1.1,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846581,true,2016-11-24 23:00:10.000,-81.06021,26.68573,"3/4",14.6,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846582,true,2016-11-27 23:00:07.000,-81.08212,26.71244,"5/5",7.8,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846583,true,2016-12-03 23:00:10.000,-81.08196,26.71223,"4/4",3.7,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846584,true,2016-12-09 23:00:10.000,-81.08175,26.71214,"6/6",1.3,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846585,true,2016-12-12 23:00:10.000,-81.08056,26.71325,"4/4",10.6,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846586,true,2016-12-15 23:00:10.000,-81.08182,26.71205,"5/5",7.8,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846587,true,2016-12-21 23:00:07.000,-81.08181,26.71235,"7/8",1.6,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846588,true,2016-12-24 23:00:10.000,-81.0818,26.71225,"7/7",1.7,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846589,true,2016-12-27 23:00:04.000,-81.08165,26.71209,"7/7",3.0,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846590,true,2016-12-30 23:00:09.000,-81.08102,26.71256,"7/7",1.2,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846591,true,2017-01-05 23:00:10.000,-81.08237,26.71106,"4/4",15.9,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846592,true,2017-01-08 23:00:10.000,-81.08161,26.71177,"4/5",9.8,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
3957846593,true,2017-01-11 23:00:06.000,-81.07702,26.68826,"3/3",3.1,,"gps",,"1393","2651-65614","grcaMigration-Ryder"
